1,0.441743,0.830315,8,8
4,0.442827,0.812182,25,25
4,0.443059,0.812404,25,25
4,0.391280,0.699708,27,27
4,0.287600,0.492900,27,27
4,0.186997,0.305142,28,28
4,0.090251,0.138496,29,29
4,0.000524,0.000503,34,34
4,0.443169,0.812451,26,26
4,0.391533,0.700137,27,27
4,0.287803,0.493011,28,28
4,0.187264,0.305387,28,28
4,0.092090,0.140644,29,29
4,0.000520,0.000600,34,34
4,0.442852,0.812382,26,26
4,0.391579,0.699819,27,27
4,0.287447,0.492415,27,27
4,0.186516,0.304849,28,28
4,0.089869,0.138426,29,29
4,0.002927,0.002994,34,34
4,0.443847,0.812699,25,25
4,0.391077,0.699481,26,26
4,0.288146,0.493298,27,27
4,0.188027,0.306048,28,28
4,0.090686,0.139257,29,29
4,0.009828,0.010130,34,34
4,0.442478,0.811904,25,25
4,0.390884,0.699382,26,26
4,0.286848,0.491776,28,28
4,0.185924,0.304056,28,28
1,0.441743,0.830315,8,8
